Brand,brand_type,Platform,Post ID/URL,Post Date/Time,Mentions Type,User Handle,User Type,Post Text/Caption,Post Type,Hashtags Used,Likes Engagement,Comments Engagement,Views (Video),Shares/Retweets,Media Type,Common Keywords,Region,Language,Top Theme Tags,Campaign Tag,Image/Video URL
tesco,,Instagram,https://www.instagram.com/p/DN3bgsC2AGc/,2025-08-27 17:01:51+00:00,,,,"Say hello to Yuzu Lemon 🍋 and Hot Honey 🔥 – two bold new flavour twists on the classic Jaffa Cake, only 95p with your #tesco Clubcard.

Ts&Cs: McVities Jaffa cake Yuzu Lemon 10 Cakes: Clubcard price £0.10/each, regular price £0.15/each; McVitie's Jaffa Cakes - Hot Honey Flavour 10 Pack: Clubcard price £0.10/each, regular price £0.15/each, ends 09/09. Available in the majority of larger stores and online. Excludes Express and Whoosh. Clubcard/app required. Delivery charges and some exclusions may apply.",,['tesco'],172,5,,,Sidecar,,,,,,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/539367288_18522747409042083_6291259980529138171_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-sjc3-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QERZzfwSfc4d7SdShriPGoFAQMcONo976aNJV3FIKtieNJOPgVQmG30D4ztXsZx1lM&_nc_ohc=1a5oamZ3b9YQ7kNvwGRUYiw&_nc_gid=AmaJKKNRjtNF6SQOnKWo-w&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzcwODU1Mzc5MTUxNzc3ODU3MQ%3D%3D.3-ccb7-5&oh=00_AfVoDjAsJ5KqqDqfxJtREijiZu6_MkxbRnw01tEJocd5Fg&oe=68B5F208&_nc_sid=8b3546
tesco,,Instagram,https://www.instagram.com/p/DN281dT2kaL/,2025-08-27 12:35:40+00:00,,,,"🍋 Limoncello spritz is the dessert of the summer🍋
 
Head to the link in bio for our limoncello spritz trifle recipe.",,,239,25,5855,,Video,,,,,,https://scontent-sjc6-1.cdninstagram.com/o1/v/t16/f2/m86/AQMBGX4RrvSR2UZUyKGyPFLb6YDD5DJB7BvE3QvsI2C96t_mMA5eTvyAdhSwx4E-6vOKSdLZq0-A33oFk9vtinrXoQ9EYIMSSheJEEQ.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=104&vs=1296324768794405_2771969244&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC80RTRCOEE1MzVDQ0Q1ODIzNEZBRDkyMjgzNENEMEU4Q192aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HS1d2SXlBWUFzSWxDLXNEQUdKVTJBeU04Wm9LYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJprzwuyej9Y%2FFQIoAkMzLBdALRDlYEGJNxgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfXVmDGHEnMoVxZvuAFqfB0U02b2dqiwsHeBfNj8-Yn6pw&oe=68B2055A&_nc_sid=8b3546
tesco,,Instagram,https://www.instagram.com/p/DN0yfM43AsL/,2025-08-26 16:25:01+00:00,,,,Stephen is a real one 🥬🔥,,,324,13,11600,,Video,,,,,,https://scontent-sjc6-1.cdninstagram.com/o1/v/t16/f2/m86/AQN8lDdluWZlA51Cs_ouB-N0zyWuEGf7PcKCRLA2Uxhl2NTes__aet25jIYitZYAWi7YjX6M-K_JHTJEZlIwB-SLD-2R1cQs2cuugWQ.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=107&vs=820619643654764_1699982231&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC81OTQyQjU3Rjk4RkMyQzdBMjg4N0I1QzVGMTkyNzU5Rl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTjl6SkNDc05KSmR5TU1FQUJmNEh5aTlJRWw3YnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJprb0bbdidY%2FFQIoAkMzLBdAHRBiTdLxqhgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfUCgOwpaXegVDzZ308BpUjRwUfQX0i5L84XyFJCrTVPVQ&oe=68B20CE9&_nc_sid=8b3546
tesco,,Instagram,https://www.instagram.com/p/DN0GBdhUh93/,2025-08-26 10:00:05+00:00,,,,"For more 5-a-day inspo, head to Tesco Real Food 🥦🥕",,,136,5,4599,,Video,,,,,,https://scontent-sjc3-1.cdninstagram.com/o1/v/t16/f2/m86/AQPoR-MVuYGpBBCSX5Y4f17zvH1KIWDv88-41h8g-sBQHX4I_5sdJu4JmFgqpJ96VOvz69XOYA2BbEaaCA1BhK_9q3iGvyZBnDF06VA.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=103&vs=1674361413237123_3225629389&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8yQjQwQ0RBMzZGMDdGMTA1NzVFMTZDN0UxNTExM0Q5MF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HQ2dkSUNDeVZYSl9iVFlMQUQyb0Zla1NXd2RGYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJpqQ7dGwh9Y%2FFQIoAkMzLBdAPWZmZmZmZhgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfWVJPr3DCPz3XWavL5eBZaeizgTgsjtuw8OH-pVtdxf9g&oe=68B21D71&_nc_sid=8b3546
tesco,,Instagram,https://www.instagram.com/p/DNyDh4E5Pw4/,2025-08-25 15:00:06+00:00,,,,"Blackberry season = THIS pistachio bark 😮‍💨

Blackberry and pistachio bark
Serves 6-8
Takes 5 mins
V GF

250g pack blackberries
3 tbsp Tesco Finest pistachio crème
150g white chocolate
small handful pistachios, roughly chopped (optional)

1. Line a small baking tray with baking paper and arrange the blackberries next to one another to make a rectangle.
2. In a small bowl, warm the pistachio crème for 10 secs in the microwave. Drizzle over the blackberries.
3. In another small bowl, melt the white chocolate in 20 secs burst in the microwave until smooth and melted. Drizzle over the blackberries and pistachio crème to cover. Sprinkle over the pistachios if using.
4. Place in the freezer for 4 hours or until completely frozen. Break into shards and enjoy.

#tesco",,['tesco'],536,25,21039,,Video,,,,,,https://scontent-sjc6-1.cdninstagram.com/o1/v/t16/f2/m86/AQO2sZecQSablMEXu90ze8mmAfu9UgxUwCkXMZ7gHpgsogQFvvr5aM99uAF8BT0i2eol8xdBrV68gn6CZQy2gWDjj1Fax44YOLQ4N58.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=107&vs=801909258860108_208847813&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9DRDRCN0I4QTU5QjRDQ0MxRkFDRUNBMzZBRjU2NENBNV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRVN3SXlETlFOWU1KbFFDQUQ2ak4wRmRucFI3YnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJpqw19G3gtY%2FFQIoAkMzLBdAMrMzMzMzMxgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfWkwPQkFILMky2kQbXjRUq1TEhABFITYKem7RScQKqwRw&oe=68B1F8D0&_nc_sid=8b3546
tesco,,Instagram,https://www.instagram.com/p/DNxu9ABVBCV/,2025-08-25 12:00:19+00:00,,,,"The bento boxes make me feel SO organised ✅ parent win!

#BackToSchool #Tesco",,"['BackToSchool', 'Tesco']",152,1,6526,,Video,,,,,,https://scontent-sjc6-1.cdninstagram.com/o1/v/t16/f2/m86/AQN6jHQN4m72xoF3BoQ0L5WcppCo8EycB1iww6IuxNI3qV5wWWC3nJk4pFjbAMV8aTGAxCFSJk-NKU-gq2ej0omW-U902m0t45Py7MI.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=111&vs=1535622594471660_959113315&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9ENjQ5MTU4RUIxNUQxREY5MTM1QTYwRTYxQjM2NzA4M192aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSXN5RENDVXBRLU5BQzRGQUV2eDhkbXJfRmNDYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJpqn%2BoizgdY%2FFQIoAkMzLBdAN1HrhR64UhgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfWA06X-EdLfm6oJnZThbmX0xSzhSxldQJLD3BvBIFtU3A&oe=68B1F229&_nc_sid=8b3546
tesco,,Instagram,https://www.instagram.com/p/DNvscH8WsFX/,2025-08-24 17:00:25+00:00,,,,"Your summer holiday dinner inspo is HERE!!🌞🍴

Cheesy potato waffle ‘tortilla’
Serves 6
GF

1 tbsp olive oil 
�1 red pepper, chopped�
1 onion, finely sliced
�12 frozen potato waffles
 �10 eggs, whisked�
1 tsp smoked paprika
�70g mature Cheddar, coarsely grated �
50g ham, roughly chopped �
small handful peas

1. Preheat the oven to gas 6, 200°C, fan 180°C.
2. Toast 6 of the potato waffles in a toaster on the highest setting, until lightly toasted.
3. Add the oil to a baking dish (about 20 x 28cm) and scatter over half of the onion and pepper. Top with the 6 toasted potato waffles.
4. Sprinkle over half of the cheese, the remaining onions and pepper, and all of the ham and peas. Top with the remaining 6 potato waffles.
5. Whisk the eggs together with some seasoning and the smoked paprika.
6. Pour over the eggy mix and sprinkle over the remaining cheese.
7.  Bake in the oven for 30-35 mins until golden and puffed up.

#tesco",,['tesco'],312,12,18357,,Video,,,,,,https://scontent-sjc3-1.cdninstagram.com/o1/v/t16/f2/m86/AQMDpmgeeeQTYaqlI4mxioiUxePHs-DH9hMyXz7vtXZepPN8-WYGjV8B_R_ioUCJrgLj4o7RCE0VyC3sDjxs1O0c7nwcN2sxc0Le-XU.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=102&vs=1449632379604136_12843943&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC85QTRCOTEzMzgwRDMyRjRFQjFFNjUxMDJFRDRCN0M4OF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HUGxnR1NDZjZ5UWFIS3dDQUE1dTNyM0o3ZHAyYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJpqsis2u%2FNU%2FFQIoAkMzLBdAK92yLQ5WBBgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfWCjdxDiXBfXRUVYFx4R0zrTbQQnnb3iypwqy6sVlIj6g&oe=68B20E45&_nc_sid=8b3546
tesco,,Instagram,https://www.instagram.com/p/DNsXp3BXvBQ/,2025-08-23 10:00:05+00:00,,,,"Chat, does this affect opening times?

Recipe ⬇️

Ingredients:
1 bagel, flavour of your choice and sliced in half 
2 eggs, beaten and seasoned
1 mild cheese slice
3 leaves of butterhead lettuce
3 rashers of smoked streaky bacon
½ an avocado, thinly sliced
2 rounds of red onion
2 slices of tomato
2 hashbrowns

1.	Add hash browns into a preheated oven or airfryer until cooked through and golden, around 20 mins.
2.	In the meantime, pan fry bacon until cooked to desired crispiness.
3.	To construct the sandwich, heat a pan to a low to medium heat and pour in the beaten eggs. Immediately place on the two halves of the bagel face down and continue to heat until the egg is fully cooked. Flip the bagels over and fold the egg into the middle so any overhang covers the bagel.
4.	In layered, add on the cheese, lettuce, bacon, avocado, red onion, tomato and hash brown. Cut the egg attaching the lid of the bagel away from the base and place the lid on top. 
5.	Slice, serve immediately and enjoy!

#tesco",,['tesco'],506,17,26990,,Video,,,,,,https://scontent-sjc6-1.cdninstagram.com/o1/v/t16/f2/m86/AQMJvDVwCviF4tGKI7eW4iJgu-c00DHx80WzuBS4CCZeoHPVVGqyNyOZRCu10NuhOPzD55ilAA1DrpV6f3LnnHOId7zw_RhJPi0yGxY.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=111&vs=1295217635400959_2675173634&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC80QTQwRTdCQUNDRjE4Rjc5OUEwMTNDMDM3QUE0NTQ4MF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HQWh1X1ItcmlraHRHNEFDQUlXS21qTlBvbTQ2YnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJpql54rP8tU%2FFQIoAkMzLBdAMUeuFHrhSBgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfWg6g2Yf_kOUt2SSSTO8y65UuArIjl1OvjYvGk2Ar-5Bg&oe=68B1FE8A&_nc_sid=8b3546
tesco,,Instagram,https://www.instagram.com/p/DNqxT4PN9X9/,2025-08-22 19:03:28+00:00,,,,"Summery baked Camembert with our NEW Baking Camembert with Hot Honey Dressing, let’s gooooo 🍑☀️

Hot honey baked Camembert with peaches and thyme
Serves 4
Takes 25 mins

285g pack baking Camembert with hot honey dressing 
3 perfectly ripe yellow flesh peaches, diced  
1 tbsp light brown soft sugar  
1 tbsp extra-virgin olive oil 
3-4 fresh thyme sprigs, leaves stripped 
baguette or crusty bread, to serve 

1. Preheat the oven to gas 6, 200°C, fan 180°C. Lightly score the top of the Camembert in a criss-cross pattern and place in the centre of a round baking dish; about 23cm.
2. Arrange the peaches around the Camembert and sprinkle over the sugar.
3. Drizzle the oil over the Camembert and peaches and sprinkle over most of the thyme leaves. Bake in the oven for 15 mins.
4. Remove from the oven and drizzle the sachet of hot honey dressing mostly over the cheese and a little bit on the peaches, then return to the oven for a further 5 mins until the cheese is gooey and melted.
5. Serve with remaining thyme leaves and crusty bread for dipping.

#tesco",,['tesco'],257,16,10080,,Video,,,,,,https://scontent-sjc6-1.cdninstagram.com/o1/v/t16/f2/m86/AQOV1ZkYy3I_Me2Ne2RmvYm2E-clc8-t-kiNll-pIyrkR8abT8Tj83NMcTwp43U_0ySGEel6HVvRdwa5DWfoCJGTQgF2i9uY9HKwD2Y.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=109&vs=1438268750601173_121488574&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8wMzQyQTczM0UwNUFGNTRBODM0N0M0Q0ZERUIzMjI5RF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRkdmLUI4YkpqMmxuNmNFQVBDYkJEbWhVdFFzYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJpqz9qzg7tU%2FFQIoAkMzLBdAJxDlYEGJNxgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfXFZUo2IPZ30RWzPrv9G97imI5QLrLShlCq6IRg5TnItA&oe=68B1E99F&_nc_sid=8b3546
tesco,,Instagram,https://www.instagram.com/p/DNpy017C6kB/,2025-08-22 10:00:13+00:00,,,,"Many children miss out on free school meals during the holidays, @missdanijiharmer shows how picking up a food donation bag on your next shop will support @fareshareuk and @trusselluk and help those who need it most. #StrongerStarts #Tesco",,"['StrongerStarts', 'Tesco']",897,23,13363,,Video,,,,,,https://scontent-sjc3-1.cdninstagram.com/o1/v/t16/f2/m86/AQNAKrIk9qxsBejlzUnvm5EgclRCM1tRVRw5-Z6m_MquYeJ_TXMhA8PFWS7meUXe-woAA5afmeJih_dBST2HBeZhc5nSQakrdwYn0vs.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=100&vs=1267477068409779_735690953&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8zNDQzQzY0NEUwM0U3QjJFQzBDNzFCRTYwQ0VGQTc4NF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRUhjRGlCbDJnS3IxaVlHQUpwaWcyVEJMeHMyYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJprq69jH69U%2FFQIoAkMzLBdAQdmZmZmZmhgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfVBsb3fBsffVZpISxbYM3pYF3Mnr09Bqqu0EX0r0TrPRg&oe=68B1FF28&_nc_sid=8b3546
tesco,,Instagram,https://www.instagram.com/p/DNiWy-SNYuK/,2025-08-19 12:36:44+00:00,,,,"During the summer holidays, kids can enjoy a free* meal with any adult purchase in The Café, when dining in. @missdanijharmer and her daughter put the menu to the taste test! 🍽️#StrongerStarts #Tesco
 
Find the full T&Cs below and your local #Tesco Café at the link in bio. *T&Cs apply.",,"['StrongerStarts', 'Tesco']",643,23,15634,,Video,,,,,,https://scontent-sjc6-1.cdninstagram.com/o1/v/t16/f2/m86/AQOXQB2Cr-T2m0rHlJTeGcUdwzICxIy2WO_CatK7-awJZlbtJNOFjH7MGcG-AoC8CmaDsIBs13-uqYsXnALgAJd2tG8Up8plS95LmcY.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=101&vs=1220795000060350_2049518388&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9DMTQ4RjY5N0EwQzA2RENFOTdDMzk3MEQ2RDdFNUU5Nl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTHdLMkJfY3k3TzVKMUVDQUVJeW5rS3FQSnhGYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJpqy15rB2NU%2FFQIoAkMzLBdAQ5mZmZmZmhgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfWBhF9nAWOhlgj65R4ZpANe1CJoWNm6kWTwLidlsTfcYA&oe=68B1F262&_nc_sid=8b3546
tesco,,Instagram,https://www.instagram.com/p/DNgLLQSOCD-/,2025-08-18 16:17:10+00:00,,,,"Pasta all day everyday, are we right?

Head to the link in bio for our creamy corn and bacon spaghetti recipe.

#tesco",,['tesco'],453,24,21356,,Video,,,,,,https://scontent-sjc3-1.cdninstagram.com/o1/v/t16/f2/m86/AQMeEMc8fJAa5BmY8e_u7Bx8RR4-wC2JTan9NNlobbWqAFs8dsICToNoGt_H18FA51oh0XAcCPudEp3_TqBgiaNUuJs4xBaeHqEtu9E.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=100&vs=1072928998348292_3019918576&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8zMzRCNDgyRDIwRDkxNUI0NEM4QzhEQzFFMUZDMzU4NV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSDQ1NVJfWms3czRDcVlDQURoTFJFRi1wOE1yYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJpr695Gx09U%2FFQIoAkMzLBdANUzMzMzMzRgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfXNWZz3q71tWcVkb2uHYhaxdchu0_Z7qBsVtem5R0UUJw&oe=68B1FEBE&_nc_sid=8b3546
